k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
4,0_1_11_12,1.4,10.058366268120817,5.571077120922778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1599448028354886,3.287872855065392,0.03947148929715851
4,0_2_3_4,1.66666666666667,13.071642602247646,5.785973589828359,4.137523528678154,1.665849098842042,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_3_5,2.0,11.13854143045382,2.9073535784706626,4.054372821771384,3.171877331066101,0.0,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_3_6,1.7,11.011514715294831,2.9073535784706626,2.1545838813544824,3.0974526154184474,1.351837672318179,0.0,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_3_7,2.66666666666667,9.418828930480196,2.9073535784706626,2.1545838813544824,1.665849098842042,1.2929976328879058,0.8811105085253523,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_2_3_8,2.1,10.382259581070986,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.8263208187383071,1.3951128387574938,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_2_3_9,1.8,9.49134552207692,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.0,1.3477824993510419,0.44532218788853867,0.0,0.9704542761701506,0.0,0.0,0.0
4,0_2_3_10,1.73333333333333,9.706029615341265,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.0,0.0,0.41544279356089253,1.343954145337455,0.0,1.218846117775732,0.0,0.0
4,0_2_3_11,1.7,10.562943529905352,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.0,0.0,0.0,1.3036317362353411,0.8738622501187578,0.0,1.6576629848840672,0.0
4,0_2_3_12,1.7,8.701402524491911,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.8307060411262993,1.1034384354012663,0.0,0.03947148929715851
4,0_2_4_5,2.36666666666667,10.979525909784119,2.848740064837144,4.137523528678154,1.5060282322240592,1.4822963848990902,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_4_6,2.26666666666667,10.290466119274026,0.0,5.956045094323696,0.0,2.8341340572172693,0.0,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_4_7,3.53333333333333,8.378707178989346,0.0,4.137523528678154,1.3608425264869992,1.4822963848990902,0.8811105085253523,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_2_4_8,2.1,9.686228309020551,0.0,4.137523528678154,0.0,2.7205525766769023,0.0,1.3951128387574938,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_2_4_9,2.33333333333333,7.811556645142107,0.0,4.137523528678154,0.0,1.4822963848990902,0.7759602675061731,0.0,0.44532218788853867,0.0,0.9704542761701506,0.0,0.0,0.0
4,0_2_4_10,1.86666666666667,9.486220299322557,0.0,4.137523528678154,0.0,1.4822963848990902,0.0,1.3036001226321257,0.0,1.343954145337455,0.0,1.218846117775732,0.0,0.0
4,0_2_4_11,2.2,8.54035867802846,0.0,4.137523528678154,0.0,1.4822963848990902,0.0,0.0,0.38901352944838996,0.0,0.8738622501187578,0.0,1.6576629848840672,0.0
4,0_2_4_12,2.53333333333333,8.028569199067508,0.0,4.137523528678154,0.0,1.4822963848990902,0.0,0.0,0.0,1.2658393607918392,0.0,1.1034384354012663,0.0,0.03947148929715851
4,0_2_5_6,1.63333333333333,10.335378448058627,2.8177039952831753,2.1545838813544824,1.5060282322240592,1.351837672318179,1.0049376991456713,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_2_5_7,2.63333333333333,7.802816815800023,0.0,3.89380614550519,1.5060282322240592,0.0,1.8860482076710237,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
